nodeId,category,name,desc,book,crystal1,crystal2,parents,E1Kind,E1Op,E1Key,E1Value,E1Bool,E2Kind,E2Op,E2Key,E2Value,E2Bool,E3Kind,E3Op,E3Key,E3Value,E3Bool
4,Skill,Finisher's Blast 2,The damage dealt to surrounding enemies\non execution rises. Lets you set up\nchained execution opportunities.,2,2,2,2,Stat,Add,exe_splash_dmg,10,,,,,,,,,,,
5,Skill,Composure 2,"When Mita finishes a target with an\nexecution, the Fragile gauge recovers by 5. \nEases the burden of a long delve.",2,3,2,3|4,Stat,Add,exe_fragile_regen,5,,,,,,,,,,,
6,Skill,Second Wind 1,"When Mita finishes a target with an\nexecution, one dash charge is restored. \nFlows straight from a finisher into the\nnext move.",2,4,2,5,Stat,Add,exe_dash_charge_regen,1,,,,,,,,,,,
7,Skill,Comrade's Gift,"When Mita finishes a target with an\nexecution, health recovers by 0.5. \nA gift from someone who was once\na comrade.",2,4,2,5,Stat,Add,exe_hp_regen,0.5,,,,,,,,,,,
8,Skill,Second Wind 2,"When Mita finishes a target with an\nexecution, one dash charge is restored. \nFast executions! fast evasions!",3,4,2,6|7,Stat,Add,exe_dash_charge_regen,1,,,,,,,,,,,
0,Survive,Vigor 1,Mita's health rises by 1. \nLets her hold out a little longer in battle.,1,2,0,,Stat,Add,hp_max,1,,,,,,,,,,,
1,Survive,Vigor 2,Mita's health rises by 1. \nYour margin for survival grows.,1,2,0,0,Stat,Add,hp_max,1,,,,,,,,,,,
2,Survive,Steady Mind 1,Mita's Fragile gauge cap rises by 10. \nGives you mental breathing room.,1,2,1,0,Stat,Add,fragile_max,10,,,,,,,,,,,
3,Survive,Resilience 1,"When Mita clears a dungeon, health\nrecovers by 0.5.\nMaybe dungeons aren't all bad after all.",1,3,1,1|2,Stat,Add,hp_reg_clear,0.5,,,,,,,,,,,
4,Survive,Vigor 3,Mita's health rises by 1. \nBase health is reinforced.,1,4,1,3,Stat,Add,hp_max,1,,,,,,,,,,,
5,Survive,Steady Nerves 1,Mita's Fragile gauge growth rate drops\nby 0.2. It takes longer to reach the\nmental breaking point.,1,4,2,3,Stat,Add,fragile_gain,-0.2,,,,,,,,,,,
6,Survive,Steady Recovery 1,"When Mita clears a dungeon, the Fragile\ngauge recovers by 5. \nMore peace of mind than you'd expect.",2,5,2,4|5,Stat,Add,fragile_reg_clear,5,,,,,,,,,,,
7,Survive,Iron Grit 1,Invincibility frames after being hit rise\nby 0.1 seconds. Gives you immunity\nto follow-up damage.,2,3,2,6,Stat,Add,inv_time,0.1,,,,,,,,,,,
8,Survive,Resilience 2,"When Mita clears a dungeon, health\nrecovers by 0.5. Dungeons are starting to\nfeel a little familiar.",2,3,2,6,Stat,Add,hp_reg_clear,0.5,,,,,,,,,,,
9,Survive,Steady Mind 2,Mita's Fragile gauge cap rises by 10. \nRecommended for long expeditions.,2,3,2,6,Stat,Add,fragile_max,10,,,,,,,,,,,
10,Survive,Resilience 3,"When Mita clears a dungeon, health\nrecovers by 0.5. You'll need this to delve\ninto the deeper dungeons.",3,3,3,7|8,Stat,Add,hp_reg_clear,0.5,,,,,,,,,,,
11,Survive,Steady Nerves 2,Mita's Fragile gauge growth rate drops\nby 0.3. Eases the mental breaking point\nover the long haul.,3,3,3,8|9,Stat,Add,fragile_gain,-0.3,,,,,,,,,,,
12,Survive,Steady Recovery 2,"When Mita clears a dungeon, the Fragile\ngauge recovers by 10. \nEnter the next stage in a stable state.",5,5,5,10|11,Stat,Add,fragile_reg_clear,10,,,,,,,,,,,
0,Move,Light Step 1,Mita's movement speed rises by 1. \nMobility is reinforced.,1,2,0,,Stat,Add,move_spd,1,,,,,,,,,,,
1,Move,Afterburn 1,"When Mita dashes, movement speed rises\nby 0.5 for 1 second. Lets her open distance\nquickly after a dash.",1,2,0,,Buff,Add,dash_ms.sec,1,,Buff,Add,dash_ms.val,0.5,,,,,,
2,Move,Long Stride 1,Mita's dash distance rises by 1. \nLets her open distance faster in\ndangerous moments.,1,2,1,,Stat,Add,dash_dist,1,,,,,,,,,,,
3,Move,Light Step 2,Mita's movement speed rises by 1. \nMobility is greatly reinforced.,1,3,1,0,Stat,Add,move_spd,1,,,,,,,,,,,
4,Move,Charge-In 1,"When Mita dashes, attack power rises\nby 1 for 1 second. Lets her follow a dash\nwith a powerful attack.",1,4,1,1,Buff,Add,dash_ad.sec,1,,Buff,Add,dash_ad.val,1,,,,,,
5,Move,Long Stride 2,Mita's dash distance rises by 1. \nBoth approach and escape become easy.,1,4,2,2,Stat,Add,dash_dist,1,,,,,,,,,,,
6,Move,Phase Dash 1,Mita's dash invincibility duration rises\nby 0.25 seconds. Enemy attacks just\ngraze her.,2,5,2,3|4,Stat,Add,dash_inv_time,0.25,,,,,,,,,,,
7,Move,Quick Charge 1,Mita's dash recharge time drops by 0.05\nseconds. The rhythm of dashing never\nbreaks.,2,3,2,4|5,Stat,Add,dash_cd,-0.05,,,,,,,,,,,
8,Move,Afterburn 2,"When Mita dashes, movement speed rises\nby 1 for 2 seconds. \nSpecializes in movement and evasion.",2,3,2,6|7,Buff,Add,dash_ms.sec,2,,Buff,Add,dash_ms.val,1,,,,,,
9,Move,Phase Dash 2,Mita's dash invincibility duration rises\nby 0.25 seconds. Makes bold entries\npossible even in danger.,2,3,2,8,Stat,Add,dash_inv_time,0.25,,,,,,,,,,,
10,Move,Quick Charge 2,Mita's dash recharge time drops by 0.05\nseconds. No one can keep up with\nMita's movement.,3,3,3,8,Stat,Add,dash_cd,-0.05,,,,,,,,,,,
11,Move,Charge-In 2,"When Mita dashes, attack power rises by\n4 for 1 second. Fast entries! heavy hits!",3,3,3,9|10,Buff,Add,dash_ad.sec,1,,Buff,Add,dash_ad.val,4,,,,,,
